"id_turma";"codigo_turma";"siape";"matricula_docente_externo";"observacao";"id_componente_curricular";"ch_dedicada_periodo";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57573239";"35";"1856853";"";"";"18812";"45";"TÉCNICO";"";"Sala 15";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3M123";"";"3";"REGULAR";"false";"";"false";"";"";"EXCLUÍDA";"";"Presencial"
"57573240";"01";"1856853";"";"";"18799";"45";"TÉCNICO";"";"Sala 15";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3M123";"2";"3";"REGULAR";"false";"2016/06/20 08:36:54.766000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573242";"02";"1149504";"";"";"18799";"45";"TÉCNICO";"";"Sala 'R'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"5T123";"1";"3";"REGULAR";"false";"2016/06/23 09:42:04.620000000";"false";"";"51";"CONSOLIDADA";"";"Presencial"
"57573243";"03";"1149517";"";"";"18799";"45";"TÉCNICO";"";"Sala 08";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"2";"3";"REGULAR";"false";"2016/06/22 20:24:58.594000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573244";"04";"1735107";"";"";"18799";"45";"TÉCNICO";"";"Sala 'U'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T123";"1";"3";"REGULAR";"false";"2016/06/22 21:40:38.193000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573245";"01";"1177821";"";"";"18716";"45";"TÉCNICO";"";"Sala 05";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T456";"1";"3";"REGULAR";"false";"2016/06/20 21:39:15.187000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573246";"02";"1149642";"";"";"18716";"45";"TÉCNICO";"";"Sala 04";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T456";"2";"3";"REGULAR";"false";"2016/06/23 21:38:22.194000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573248";"04";"1149517";"";"";"18716";"45";"TÉCNICO";"";"Sala 08";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"4T456";"1";"3";"REGULAR";"false";"2016/06/22 20:33:47.409000000";"false";"";"57";"CONSOLIDADA";"";"Presencial"
"57573249";"05";"1301266";"";"";"18716";"45";"TÉCNICO";"";"Sala 'L'";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"3T456";"1";"3";"REGULAR";"false";"2016/06/08 16:31:54.557000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
"57573250";"06";"1281061";"";"";"18716";"45";"TÉCNICO";"";"Sala 26";"2016";"1";"2016/02/01 00:00:00.000";"2016/06/18 00:00:00.000";"6T123";"3";"3";"REGULAR";"false";"2016/06/19 19:15:26.341000000";"false";"";"54";"CONSOLIDADA";"";"Presencial"
