codigo_componente,nome_componente
MUS3001,APRECIACAO MUSICAL I
DBG0011,BIOLOGIA CELULAR E MOLECULAR
DPU0049,"RESPONSABILIDADE CIVIL E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DPU0047,"DIREITO DO CONSUMIDOR E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
LET0445,LÍNGUA LATINA I
LET0406,LITERATURA AFRICANA EM LÍNGUA PORTUGUESA II
ECO0506,FUNDAMENTOS DE ECONOMIA POLITICA
DAT0129,CINEMA I
DAT0160,HISTÓRIA DA ARTE NO RN
DPP0063,GESTÃO PARTICIPATIVA
DGE0110,GEOGRAFIA ECONOMICA
FIL0935,TOPICOS ESPECIAIS DE FILOSOFIA CONTEMPORANEA I
FIL0965,TOPICOS ESPECIAIS DA FILOSOFIA POLITICA I
FIL0918,FILOSOFIA DA MENTE
LET0301,PRATICA DE LEITURA E PRODUCAO DE TEXTOS I
DCS0014,INTRODUCAO AS CIENCIAS SOCIAIS
LEM4041,EXPRESSÃO ORAL E COMPREENSÃO AUDITIVA EM LÍNGUA ESPANHOLA I
DEF0044,ORGANIZACAO DE EVENTOS EM EDUCACAO FISICA E ESPORTES
DBF0014,BIOFISICA GERAL
MOR0068,ANATOMIA HUMANA PARA O ENSINO DE CIENCIAS E BIOLOGIA
PSI0915,TOPICOS EM PSICOPATOLOGIA I
ECO2538,GESTÃO DE POLITICAS PUBLICAS II
DAN0103,ANTROPOLOGIA E O ESTUDO DA CULTURA
PSI7023,PSICOLOGIA COGNITIVA
DPU0231,DIREITO DAS ORGANIZAÇÕES INTERNACIONAIS
DPU0226,DIREITO TRIBUTÁRIO APLICADO
ADM0075,"ORGANIZAÇÃO, PROCESSOS E SISTEMAS"
PSI7021,COMPORTAMENTALISMO
PSI7025,PSICOLOGIA HUMANISTA-EXISTENCIAL
PSI7026,INTRODUCAO AO PARADIGMA SOCIAL
HIS0065,HISTÓRIA DO BRASIL CONTEMPORÂNEO
ICE1003,SEMINÁRIOS EM NEUROCIÊNCIA
COM0307,COMUNICAÇÃO E CULTURA
ICE1029,BASES NEURAIS DA LEITURA
DPP0051,TÓPICOS ESPECIAIS II
DPP0055,TÓPICOS ESPECIAIS VI
ICE1032,NEUROCIÊNCIA APLICADA AO DIREITO
DPR0037,DIREITO MARÍTIMO
DIM0448,QUALIDADE DE SOFTWARE
MCL0028.0,"MEDICINA, SAÚDE E ESPIRITUALIDADE - TEÓRICA"
DPR3220,PRÁTICA DAS AUDIÊNCIAS NO PROCESSO CIVIL
BEZ0047,SOCIEDADE E DESENVOLVIMENTO
ART0217,CONSCIENTIZACAO CORPORAL
ART0219,TECNICA E ESTETICA DA DANCA
ART0228,MUSICA NA CENA I
DPU0054,"INTRODUÇÃO À INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DPU0044,"LEGISLAÇÃO DA INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DPU0053,"DIREITO TRIBUTÁRIO E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DPU0048,"CONTRATOS E INDÚSTRIA DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS"
DAT0156,TÓPICOS EM ARTE CONTEMPORANEA
FPE5007,FUNDAMENTOS HISTÓRICO-FILOSÓFICOS DA EDUCAÇÃO II
HIS0044,HISTORIA DA ÁFRICA
HIS0010,HISTORIA MODERNA II
HIS0016,HISTORIA DO BRASIL IMPERIO
ADM0061,GESTÃO DE EMPREENDIMENTOS NÃO- GOVERNAMENTAIS
LET0485,ENSINO DE LITERATURA BRASILEIRA
DCS0322,SOCIOLOGIA DO TRABALHO
PSI7024,PSICANALISE
DPR0036,DIREITO INTERNACIONAL DOS DIREITOS HUMANOS
COM0107,COMUNICAÇÃO E RELAÇÕES DE GÊNERO
MUS1205,CANTO CORAL I
DEF0049,METODOLOGIA DO JUDO
COM0319,FOTOGRAFIA PUBLICITÁRIA
DEQ0532,GESTÃO TECNOLÓGICA E ECONÔMICA
HIS0033,HISTORIA DAS IDEIAS POLITICAS E SOCIAIS
DEH0055,SEMINARIO DE HISTORIA MODERNA E CONTEMPORANEA II
ADM0083,SEMINÁRIO TEMÁTICO
LET0053,LINGUISTICA ROMANICA
FPE0500,FUNDAMENTOS PSICOSSOCIAIS DA APRENDIZAGEM
ICE1012,HISTÓRIA DA NEUROCIÊNCIA
ICE1021,EVOLUÇÃO DO SISTEMA NERVOSO
ICE1023,TÉCNICAS EXPERIMENTAIS EM NEUROCIÊNCIAS
DEF0040,TECNICAS DE DANCA
CON3303,ETICA GERAL E PROFISSIONAL
ECT1112,ÁLGEBRA VETORIAL
MCL0006,HISTÓRIA DA MEDICINA
COM0160,SOCIOLOGIA DA COMUNICACAO
DPR0131,NOÇÕES DE DIREITO CIVIL E COMERCIAL
HIS0017,HISTORIA DO BRASIL REPUBLICA I
LET0195,TEORIA DA LITERATURA I
SSO0079,SEMINARIO TEMATICO SOBRE POBREZA E EXCLUSAO SOCIAL
LET0400,LITERATURA AFRICANA EM LÍNGUA PORTUGUESA I
LET0049,LINGUA LATINA III
FIL0701,ESTETICA FILOSOFICA
FIL0940,TOPICOS ESPECIAIS DA FILOSOFIA MODERNA I
SSO0082,SEMINARIO TEMATICO SOBRE GENERO
COM0105,COMUNICAÇÃO E MARKETING
DCS0121,INTRODUÇÃO A SOCIOLOGIA
DDA0011,GERENCIAMENTO DE BANCO DE DADOS
MCL0026.0,INTRODUÇÃO A MEDICINA E BIOÉTICA - TEÓRICA
MCL0026.1,INTRODUÇÃO A MEDICINA E BIOÉTICA - PRÁTICA
COM0096,CINEMATOGRAFIA
HIS0021,PALEOGRAFIA
COM0921,TOPICOS ESPECIAIS EM TV
DFS0209,EVOLUCAO DO COMPORTAMENTO HUMANO
DEH0064,FORMACAO HISTORICA DO RIO GRANDE DO NORTE
LET0077,CULTURA E LITERATURA BRASILEIRA II
DGN0200,PROJETO DE PRODUTO I
DPU0230,DIREITO URBANÍSTICO
PSI0095,PSICOLOGIA E PROCESSOS PSICOSSOMÁTICOS
DGN0131,USO DA COR NO DESIGN
MUS5007,NEUROBIOLOGIA DA MUSICA
PSI7048,PROCESSOS PSICOSSOCIOLOGICOS NAS ORGANIZAÇÕES
DPP0054,TÓPICOS ESPECIAIS V
DPR3213,PRÁTICA DE PROCESSO ELETRÔNICO
DPP0038,TÓPICOS ESPECIAIS IX
ICE1034,BASES NEUROFISIOLÓGICAS DA MEDITAÇÃO E YOGA
PSI0602,INTRODUCAO A PSICANALISE
DGE0165,GESTÃO DO TERRITÓRIO
FPE0680,FUNDAMENTOS SÓCIO-FILOSÓFICOS DA EDUCAÇÃO
DPU0232,CRIMINOLOGIA
COM0060,LEGISLACAO JORNALISTICA
COM0106,COMUNICACAO POLITICA
PEC0683,DIDÁTICA
CON0002,CONTABILIDADE APLICADA A ADMINISTRACAO
PEC5026,EDUCAÇÃO DE JOVENS E ADULTOS
DAT0113,HISTORIA DAS ARTES II
ADM0073,ESTUDOS ORGANIZACIONAIS CONTEMPORANEOS
HIS0012,HISTORIA CONTEMPORANEA II
ADM0062,GESTÃO DE EMPREENDIMENTOS ECONÔMICO-SOLIDÁRIOS
SSO0097,CLASSES E MOVIMENTOS SOCIAIS
DAT0157,DESENHO II
DPP0011,ANÁLISE E REPRESENTAÇÃO DE DADOS E INFORMAÇÕES
FIL0996,HISTORIA DA CULTURA GREGA
FIL0303,METAFISICA
DCS0330,TOPICOS TEORICOS DE SOCIOLOGIA II
DSC0022,FINANCIAMENTO E ORÇAMENTO NA SAÚDE
DAT0106,REPRESENTACAO GRAFICA
PSI0981,PSICOLOGIA SOCIAL E COMUNICAÇÃO
DGN0100,INTRODUÇÃO AO ESTUDO DO DESIGN
DAT0155,PRODUÇÃO TRIDIMENSIONAL II
DEF0033,METODOLOGIA DAS LUTAS
PSI3080,PSICOLOGIA TRANSPESSOAL II
ARQ0512,DESENHO ARTISTICO 01
ARQ0525,FUNDAMENTOS SOCIAIS DA ARQUITETURA E URBANISMO
DPR0121,DIREITO NOTARIAL
DPR0032,DIREITO E LEGISLACAO ESPORTIVA
LEM3031,FRANCÊS PARA FINS ACADÊMICOS I
PSI7057,INFÂNCIA E ADOLESCÊNCIA NO CONTEXO SÓCIO-COMUNITÁRIO
DPR0034,DIREITO AGRÁRIO
PSI0926,PSICOLOGIA TRANSPESSOAL I
DAT0146,DESENHO I
DPR0033,DIREITO DA SEGURIDADE SOCIAL
DTU2010,COZINHAS REGIONAIS E SERVIÇOS DE MESA
ADM0541,GESTAO DE PESSOAS I
MOR0076,FUNDAMENTOS DE BIOÉTICA E TANATOLOGIA PARA ESTUDANTES DA ÁREA DA SAÚDE
DPP0045,TÓPICOS ESPECIAIS I
ART0182,CORPO E MOVIMENTO
CON3116,EDUCAÇÃO FISCAL
DPR3204,PRÁTICA DE FAMÍLIA E SUCESSÕES
DPR3219,PRÁTICA DE PROCEDIMENTOS RELACIONADOS À VIOLÊNCIA DOMÉSTICA
CON4101,CONTABILIDADE BÁSICA I
DPR0039,ELEMENTOS DE DIREITO EMPRESARIAL
CON4709,EMPREENDEDORISMO PARA CONTADORES
HIS0052,"HISTÓRIA, CINEMA E AUDIOVISUAL"
DDA0101,FUNDAMENTOS DE ESTATÍSTICA PARA CIÊNCIAS ATUARIAIS
PSI3086,INTERVENÇÃO PSICOSSOCIAL
LET0001,LINGUA PORTUGUESA I
LEM2001,OFICINA DE EXPRESSÃO ORAL EM LÍNGUA INGLESA I
IMD0020,TECNOLOGIA DA INFORMAÇÃO E SOCIEDADE
LEM3001,LÍNGUA FRANCESA I - BÁSICO I
HIS0006,PRE-HISTORIA
COM0130,LEGISLACAO NO RADIALISMO
ART0145,EXPRESSÃO CORPORAL I
ART0153,EXPRESSÃO VOCAL I
FIL0987,TOPICOS ESPECIAIS DE FILOSOFIA DA LINGUAGEM III
FIL0930,TOPICOS ESPECIAIS DE ETICA I
FIL0954,TOPICOS ESPECIAIS DA FILOSOFIA ANTIGA V
DAT0109,PINTURA I
HIS0093,OS EXCLUÍDOS DA HISTÓRIA DO BRASIL REPUBLICANO
MAT0319,ALGEBRA LINEAR BASICA I
ECT2105,PRÁTICAS DE LEITURA E ESCRITA I
LEM3032,FRANCÊS PARA FINS ACADÊMICOS II
DPU0233,EXECUÇÃO PENAL
FPE5061,HISTÓRIA DAS RELAÇÕES DE GÊNERO E EDUCAÇÃO
PSI7029,HISTORIA DA PSICOLOGIA II
DPU0043,O DIREITO NA ECONOMIA GLOBALIZADA
ART0235,TECNICAS DE DANÇA I
EST0220,ESTATISTICA APLICADA A ADMINISTRACAO I
ADM0057,MARKETING I
ARQ0255,GESTAO MUNICIPAL E LEGISLACAO URBANISTICA
HIS0051,HISTÓRIA DO ENSINO DE HISTÓRIA
HIS0058,"HISTÓRIA, GÊNERO E SEXUALIDADE"
HIS0075,O MUNDO MEDITERRÂNICO NA ANTIGUIDADE E NO MEDIEVO
MCL0046,"MEDICINA, SAÚDE E ESPIRITUALIDADE"
DPR3309,PRÁTICA JURÍDICA FORENSE
